old_path,new_path,asset_id,status
/wp-content/uploads/2025/05/SKZ-Mining-43.jpg,/images/mining-operations/talc-lumps-field-sample-01-portrait-4x5-683w.webp,A166,301
/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-03-at-14.02.39_a8d697e9.jpg,/images/about/japanese-expert-field-visit-01-card-4x3-1920w.webp,A257,301
/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-03-at-14.07.20_2f6e46ab.jpg,/images/gallery/japanese-expert-field-visit-02-618w.webp,A258,301
/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-03-at-14.07.24_19a03610.jpg,/images/gallery/japanese-expert-field-visit-02-618w.webp,A258,301
/wp-content/uploads/2025/06/1.png,/images/brand/paktalc-logo-horizontal-01.png,A122,301
/wp-content/uploads/2025/06/2.png,/images/brand/paktalc-logo-stacked-01.png,A123,301
/wp-content/uploads/2025/06/PakTalc-Logo-f-green-1.png,/images/brand/paktalc-logo-horizontal-01.png,A122,301
/wp-content/uploads/2025/06/PakTalc-Logo-f-green.png,/images/brand/paktalc-logo-horizontal-01.png,A122,301
/wp-content/uploads/2025/06/PakTalc-Logo-final-png.png,/images/brand/paktalc-logo-stacked-01.png,A123,301
/wp-content/uploads/2025/06/PakTalc-Logo-icon.png,/images/brand/paktalc-logo-icon-01.png,A124,301
/wp-content/uploads/2025/06/cropped-PakTalc-Logo-final-png.png,/images/brand/paktalc-favicon-01.png,A264,301
/wp-content/uploads/2025/06/cropped-PakTalc-Logo-icon.png,/images/brand/paktalc-favicon-icon-01.png,A265,301
/wp-content/uploads/2025/06/talc-table_0321.jpg,/images/mining-operations/talc-lumps-hand-sorting-02-banner-16x9-986w.webp,A102,301
